subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST,
32,1,0.26495,0.22929,0.24712,262,31,0,1,1,1,0,0,0,5.0031,0
32,1,0.26495,0.22929,0.24712,263,31,0,1,1,1,0,0,0,5.0068,0
32,1,0.26495,0.22929,0.24712,264,1,134,1,0,0,1,1,1,1.1571,1
32,1,0.26495,0.22929,0.24712,265,5,133,1,0,1,0,1,1,1.9906,0
32,1,0.26495,0.22929,0.24712,266,11,125,0,1,0,1,1,1,1.2182,1
32,1,0.26495,0.22929,0.24712,267,15,121,0,0,1,0,1,1,1.2903,0
32,1,0.26495,0.22929,0.24712,268,30,97,0,0,0,1,1,1,1.2182,1
32,1,0.26495,0.22929,0.24712,269,14,121,1,1,0,1,1,1,1.3563,1
32,1,0.26495,0.22929,0.24712,270,2,133,0,0,0,1,1,1,1.1758,1
32,1,0.26495,0.22929,0.24712,271,9,125,1,0,0,1,1,1,1.1086,1
32,1,0.26495,0.22929,0.24712,272,9,129,0,0,1,0,1,1,1.2052,0
32,1,0.26495,0.22929,0.24712,273,27,106,1,1,0,1,1,1,1.1808,1
32,1,0.26495,0.22929,0.24712,274,17,121,0,0,0,1,1,1,1.0738,1
32,1,0.26495,0.22929,0.24712,275,3,129,1,1,1,0,1,1,1.2908,0
32,1,0.26495,0.22929,0.24712,276,21,114,1,0,0,1,1,1,1.12,1
32,1,0.26495,0.22929,0.24712,277,12,122,1,0,1,0,1,1,1.0401,0
32,1,0.26495,0.22929,0.24712,278,25,106,1,1,0,1,1,1,1.0977,1
